"ensembl.gene.id","ensembl.transcript.id","chromosome.name","gene.start","gene.end","strand","transcript.start","transcript.end.","gene.name","transcript.count","gc.content","gene.type","transcript.type","gene.length","transcript.length"
"ENSG00000280372","ENST00000624662",21,10028361,10029855,-1,10028361,10029855,"bP-21201H5.2",1,32.24,"TEC","TEC",1494,1494
"ENSG00000160282","ENST00000498355",21,46136262,46155567,-1,46136262,46155567,"FTCD",12,58.97,"protein_coding","processed_transcript",19305,19305
"ENSG00000252462","ENST00000516653",21,17431547,17431647,1,17431547,17431647,"RNU6-113P",1,41.58,"snRNA","snRNA",100,100
"ENSG00000236612","ENST00000439851",21,30537278,30537381,-1,30537278,30537381,"KRTAP19-11P",1,43.27,"unprocessed_pseudogene","unprocessed_pseudogene",103,103
"ENSG00000182591","ENST00000332378",21,30880644,30881555,-1,30880644,30881555,"KRTAP11-1",1,53.18,"protein_coding","protein_coding",911,911
"ENSG00000224747","ENST00000443300",21,44469929,44472516,-1,44469929,44472516,"MTCYBP21",1,44.13,"processed_pseudogene","processed_pseudogene",2587,2587
"ENSG00000244362","ENST00000614763",21,30541660,30561314,-1,30541660,30561289,"KRTAP19-7",2,35.27,"protein_coding","protein_coding",19654,19629
"ENSG00000188660","ENST00000448049",21,43446601,43453893,1,43446601,43453893,"LINC00319",2,61.7,"lincRNA","lincRNA",7292,7292
"ENSG00000227999","ENST00000445440",21,44473723,44475097,-1,44473723,44475097,"MTND5P1",1,46.04,"processed_pseudogene","processed_pseudogene",1374,1374
"ENSG00000176054","ENST00000320371",21,28997613,28998033,-1,28997613,28998033,"RPL23P2",1,47.03,"processed_pseudogene","processed_pseudogene",420,420
"ENSG00000238627","ENST00000410986",21,25202207,25202315,1,25202207,25202315,"RNA5SP489",1,44.04,"rRNA","rRNA",108,108
"ENSG00000275523","ENST00000611656",21,39447010,39447069,1,39447010,39447069,"MIR6508",1,48.33,"miRNA","miRNA",59,59
"ENSG00000275167","ENST00000611994",21,45478266,45478326,1,45478266,45478326,"MIR6815",1,55.74,"miRNA","miRNA",60,60
"ENSG00000186925","ENST00000334046",21,30541535,30541864,-1,30541535,30541864,"KRTAP19-6",1,47.58,"protein_coding","protein_coding",329,329
"ENSG00000264580","ENST00000579137",21,42950928,42951014,-1,42950928,42951014,"MIR5692B",1,34.48,"miRNA","miRNA",86,86
"ENSG00000215559","ENST00000451663",21,13909574,13980437,-1,13909574,13979911,"ANKRD20A11P",6,37.2,"transcribed_unprocessed_pseudogene","transcribed_unprocessed_pseudogene",70863,70337
"ENSG00000182670","ENST00000355666",21,37073226,37203112,1,37073271,37203103,"TTC3",25,38.7,"protein_coding","protein_coding",129886,129832
"ENSG00000276529","ENST00000616815",21,44978832,44979274,1,44978832,44979274,"AP001505.10",1,55.76,"lincRNA","lincRNA",442,442
"ENSG00000261706","ENST00000569966",21,44994362,44995185,-1,44994362,44995185,"LINC00165",1,55.46,"lincRNA","lincRNA",823,823
"ENSG00000227702","ENST00000413718",21,41679181,41697336,1,41679181,41697336,"LINC00111",1,50.03,"lincRNA","lincRNA",18155,18155
"ENSG00000228708","ENST00000455391",21,18477358,18486599,-1,18477358,18486599,"AL109763.1",1,32.37,"sense_overlapping","sense_overlapping",9241,9241
"ENSG00000228817","ENST00000436529",21,29370497,29373709,1,29370947,29373709,"BACH1-IT2",3,44.23,"lincRNA","lincRNA",3212,2762
"ENSG00000232401","ENST00000432830",21,41716436,41717580,1,41716436,41717580,"LINC00112",1,55.98,"antisense","antisense",1144,1144
"ENSG00000232118","ENST00000615718",21,29370019,29376339,-1,29370059,29376339,"BACH1-AS1",2,44.41,"lincRNA","lincRNA",6320,6280
"ENSG00000226818","ENST00000413933",21,19244543,19246392,1,19244543,19246392,"SLC6A6P1",1,54.43,"processed_pseudogene","processed_pseudogene",1849,1849
"ENSG00000142168","ENST00000270142",21,31659622,31668931,1,31659622,31668931,"SOD1",4,44.51,"protein_coding","protein_coding",9309,9309
"ENSG00000156273","ENST00000422809",21,29194071,29630751,1,29327129,29630751,"BACH1",13,39.61,"protein_coding","protein_coding",436680,303622
"ENSG00000231231","ENST00000414189",21,38323635,38333421,-1,38323635,38333364,"LINC01423",2,45.33,"lincRNA","lincRNA",9786,9729
"ENSG00000279365","ENST00000624669",21,36485867,36487760,1,36485867,36487760,"KB-176G8.1",1,49.68,"TEC","TEC",1893,1893
"ENSG00000157617","ENST00000380486",21,41885112,41953890,-1,41885112,41953890,"C2CD2",8,47.89,"protein_coding","protein_coding",68778,68778
"ENSG00000215533","ENST00000447125",21,29193480,29288205,1,29193480,29288205,"LINC00189",3,39.07,"sense_overlapping","sense_overlapping",94725,94725
"ENSG00000224924","ENST00000437238",21,20742590,20803216,-1,20742595,20803098,"LINC00320",5,35.72,"lincRNA","lincRNA",60626,60503
"ENSG00000281181","ENST00000627981",21,8437629,8438551,-1,8437629,8438551,"CH507-513H4.3",1,54.82,"lincRNA","lincRNA",922,922
"ENSG00000236545","ENST00000458654",21,41870633,41872054,1,41870633,41872054,"AP001619.3",1,52.88,"antisense","antisense",1421,1421
"ENSG00000230479","ENST00000429588",21,36430360,36481070,1,36430360,36481070,"AP000695.6",1,47.32,"antisense","antisense",50710,50710
"ENSG00000212938","ENST00000391624",21,30592440,30593075,1,30592440,30593075,"KRTAP6-3",1,50.63,"protein_coding","protein_coding",635,635
"ENSG00000279313","ENST00000623347",21,6994374,6997737,-1,6994374,6997737,"CH507-145C22.4",1,37.87,"lincRNA","lincRNA",3363,3363
"ENSG00000227342","ENST00000451410",21,30209151,30211783,-1,30209151,30211783,"LINC00307",1,36.23,"lincRNA","lincRNA",2632,2632
"ENSG00000156284","ENST00000399899",21,30214006,30216073,-1,30214006,30216073,"CLDN8",1,37.23,"protein_coding","protein_coding",2067,2067
"ENSG00000183844","ENST00000479810",21,41304212,41357431,1,41304212,41357431,"FAM3B",6,44.35,"protein_coding","processed_transcript",53219,53219
"ENSG00000279990","ENST00000625020",21,8603547,8603984,1,8603547,8603984,"RPSAP68",1,46.35,"processed_pseudogene","processed_pseudogene",437,437
"ENSG00000273492","ENST00000608591",21,26170871,26217381,1,26170871,26217381,"AP000230.1",2,41.99,"lincRNA","lincRNA",46510,46510
"ENSG00000279720","ENST00000624968",21,9082601,9083101,-1,9082601,9083101,"bP-2171C21.6",1,51.9,"processed_pseudogene","processed_pseudogene",500,500
"ENSG00000232124","ENST00000437557",21,44201290,44202696,1,44201290,44202696,"AP001057.1",1,54.94,"antisense","antisense",1406,1406
"ENSG00000273271","ENST00000609934",21,31666728,31667247,-1,31666728,31667247,"AP000254.8",1,35.77,"antisense","antisense",519,519
"ENSG00000226298","ENST00000454157",21,15694300,15696581,-1,15694300,15696581,"RAD23BLP",1,38.83,"processed_pseudogene","processed_pseudogene",2281,2281
"ENSG00000280018","ENST00000623165",21,6986450,6997765,-1,6986450,6997699,"CH507-154B10.2",3,40.23,"lincRNA","lincRNA",11315,11249
"ENSG00000173231","ENST00000311003",21,13776086,13777266,1,13776086,13777266,"TERF1P1",1,41.74,"processed_pseudogene","processed_pseudogene",1180,1180
"ENSG00000205927","ENST00000382357",21,33025845,33029196,1,33025845,33029196,"OLIG2",3,59.22,"protein_coding","protein_coding",3351,3351
"ENSG00000234008","ENST00000440405",21,35887195,35887807,1,35887195,35887807,"PPP1R2P2",1,42.58,"processed_pseudogene","processed_pseudogene",612,612
"ENSG00000156253","ENST00000493196",21,29004384,29019378,-1,29004384,29019378,"RWDD2B",7,45.42,"protein_coding","protein_coding",14994,14994
"ENSG00000232797","ENST00000443486",21,13792635,13793141,1,13792635,13793141,"FAM207CP",1,60.16,"processed_pseudogene","processed_pseudogene",506,506
"ENSG00000205758","ENST00000290244",21,33589341,33643926,-1,33589386,33641918,"CRYZL1",23,41.59,"protein_coding","protein_coding",54585,52532
"ENSG00000280243","ENST00000624263",21,8845566,8846646,1,8845566,8846646,"MTCO1P1",1,41.63,"processed_pseudogene","processed_pseudogene",1080,1080
"ENSG00000227757","ENST00000454622",21,32913649,33071104,-1,32913649,33071104,"AP000282.2",1,45.97,"antisense","antisense",157455,157455
"ENSG00000205929","ENST00000490358",21,32793564,32813743,-1,32793564,32813743,"C21orf62",4,44.02,"protein_coding","protein_coding",20179,20179
"ENSG00000275139","ENST00000617854",21,45759804,45763758,-1,45759804,45763758,"RP1-101D8.1",1,48.82,"antisense","antisense",3954,3954
"ENSG00000273872","ENST00000614260",21,10612455,10613379,-1,10612455,10613379,"SLC25A15P4",1,42.7,"unprocessed_pseudogene","unprocessed_pseudogene",924,924
"ENSG00000219280","ENST00000407739",21,13476371,13477263,1,13476371,13477263,"VN1R8P",1,43.11,"processed_pseudogene","processed_pseudogene",892,892
"ENSG00000228798","ENST00000413645",21,16630827,16640683,1,16630827,16640633,"AP000473.5",2,38.15,"lincRNA","lincRNA",9856,9806
"ENSG00000226930","ENST00000424290",21,13443373,13489176,-1,13443373,13489176,"GTF2IP2",1,38.79,"unprocessed_pseudogene","unprocessed_pseudogene",45803,45803
"ENSG00000280594","ENST00000626994",21,17611744,17633199,1,17611744,17633199,"AP000432.1",2,41.93,"processed_transcript","lincRNA",21455,21455
"ENSG00000215326","ENST00000429271",21,27143344,27143949,-1,27143344,27143949,"GPX1P2",1,63.86,"processed_pseudogene","processed_pseudogene",605,605
"ENSG00000217026","ENST00000447844",21,27420380,27421023,-1,27420380,27421023,"RPL10P1",1,53.88,"processed_pseudogene","processed_pseudogene",643,643
"ENSG00000207098","ENST00000384370",21,32841861,32841995,-1,32841861,32841995,"SNORA70",1,53.33,"snoRNA","snoRNA",134,134
"ENSG00000237594","ENST00000433071",21,31559245,31560487,1,31559245,31560487,"AP000251.3",1,58.57,"antisense","antisense",1242,1242
"ENSG00000236384","ENST00000412102",21,41711520,41715775,-1,41711520,41715775,"LINC00479",4,52.87,"lincRNA","lincRNA",4255,4255
"ENSG00000225298","ENST00000411460",21,27722379,27751233,1,27722379,27751233,"LINC00113",3,36.07,"lincRNA","lincRNA",28854,28854
"ENSG00000234538","ENST00000453500",21,13839118,13839409,1,13839118,13839409,"ZNF114P1",1,35.96,"processed_pseudogene","processed_pseudogene",291,291
"ENSG00000278181","ENST00000620221",21,17296219,17296596,1,17296219,17296596,"AP000457.2",1,57.67,"processed_pseudogene","processed_pseudogene",377,377
"ENSG00000187026","ENST00000333892",21,30746794,30747233,-1,30746794,30747233,"KRTAP21-2",1,47.95,"protein_coding","protein_coding",439,439
"ENSG00000182093","ENST00000623703",21,39380244,39428528,1,39380354,39414288,"WRB",14,44.24,"protein_coding","nonsense_mediated_decay",48284,33934
"ENSG00000160256","ENST00000291634",21,44940010,44976989,1,44940010,44976989,"FAM207A",5,56.7,"protein_coding","protein_coding",36979,36979
"ENSG00000160214","ENST00000497547",21,43789513,43805293,1,43789513,43805293,"RRP1",7,57.27,"protein_coding","protein_coding",15780,15780
"ENSG00000236471","ENST00000449746",21,15067070,15067837,1,15067070,15067837,"AF127577.12",1,39.71,"lincRNA","lincRNA",767,767
"ENSG00000240432","ENST00000390690",21,30425265,30425968,-1,30425265,30425968,"KRTAP13-3",1,48.58,"protein_coding","protein_coding",703,703
"ENSG00000272825","ENST00000609953",21,44936303,44936954,1,44936303,44936954,"LL21NC02-1C16.2",1,45.25,"antisense","antisense",651,651
"ENSG00000231068","ENST00000444335",21,30718525,30718777,-1,30718525,30718777,"KRTAP21-3",1,36.36,"protein_coding","protein_coding",252,252
"ENSG00000229623","ENST00000438852",21,39235386,39236020,-1,39235386,39236020,"METTL21AP1",1,46.93,"processed_pseudogene","processed_pseudogene",634,634
"ENSG00000215351","ENST00000448832",21,20828127,20828622,-1,20828127,20828622,"PPIAP1",1,46.57,"processed_pseudogene","processed_pseudogene",495,495
"ENSG00000226496","ENST00000441268",21,41141493,41148133,-1,41141493,41148133,"LINC00323",3,49.18,"antisense","antisense",6640,6640
"ENSG00000229086","ENST00000451980",21,33165470,33170649,-1,33165470,33170649,"LINC01548",2,48.98,"lincRNA","lincRNA",5179,5179
"ENSG00000251972","ENST00000516163",21,25943044,25943145,-1,25943044,25943145,"RNU6-123P",1,33.33,"snRNA","snRNA",101,101
"ENSG00000252963","ENST00000517154",21,20356653,20356896,1,20356653,20356896,"RN7SKP147",1,42.62,"misc_RNA","misc_RNA",243,243
"ENSG00000275664","ENST00000610482",21,8205851,8205940,1,8205851,8205940,"pRNA",1,75.56,"misc_RNA","misc_RNA",89,89
"ENSG00000279167","ENST00000625098",21,8701461,8701562,1,8701461,8701562,"bP-2168N6.3",1,44.12,"processed_pseudogene","processed_pseudogene",101,101
"ENSG00000270139","ENST00000602454",21,16417139,16419080,-1,16417139,16419080,"AP001172.3",1,35.53,"lincRNA","lincRNA",1941,1941
"ENSG00000214976","ENST00000399358",21,16094415,16095372,-1,16094415,16095372,"VDAC2P1",1,41.44,"processed_pseudogene","processed_pseudogene",957,957
"ENSG00000235023","ENST00000424890",21,42648271,42651244,-1,42648271,42651244,"AP001626.2",1,56.12,"antisense","antisense",2973,2973
"ENSG00000215386","ENST00000635845",21,15928296,16627397,1,15928296,16488329,"MIR99AHG",20,35.47,"lincRNA","lincRNA",699101,560033
"ENSG00000280075","ENST00000623929",21,9810381,9810503,-1,9810381,9810503,"RP11-555K2.1",1,52.03,"processed_pseudogene","processed_pseudogene",122,122
"ENSG00000237232","ENST00000412906",21,42009194,42024924,1,42009194,42024866,"ZNF295-AS1",3,51.34,"lincRNA","lincRNA",15730,15672
"ENSG00000215005","ENST00000447985",21,28887280,28889272,-1,28887280,28889272,"HSPD1P7",1,42.15,"processed_pseudogene","processed_pseudogene",1992,1992
"ENSG00000173276","ENST00000398505",21,41986831,42010387,-1,41986831,42010357,"ZBTB21",8,42.8,"protein_coding","protein_coding",23556,23526
"ENSG00000236677","ENST00000436303",21,36060432,36064408,1,36060432,36064408,"AP000688.11",1,47.6,"antisense","antisense",3976,3976
"ENSG00000189089","ENST00000408914",21,36050214,36051377,1,36050214,36051377,"RIMKLBP1",1,47.85,"processed_pseudogene","processed_pseudogene",1163,1163
"ENSG00000279208","ENST00000624041",21,9369285,9376645,-1,9369285,9376645,"bP-21264C1.1",1,35.59,"unprocessed_pseudogene","unprocessed_pseudogene",7360,7360
"ENSG00000159212","ENST00000360731",21,34669389,34718227,1,34669389,34718227,"CLIC6",2,45.73,"protein_coding","protein_coding",48838,48838
"ENSG00000279321","ENST00000624226",21,9913117,9914846,1,9913117,9914713,"RP11-555K2.4",2,35.09,"lincRNA","lincRNA",1729,1596
"ENSG00000255568","ENST00000603064",21,39313935,39314962,1,39313935,39314962,"BRWD1-AS2",1,59.24,"antisense","antisense",1027,1027
"ENSG00000238141","ENST00000423274",21,39315707,39323218,1,39315707,39323218,"BRWD1-AS1",1,45.53,"antisense","antisense",7511,7511
"ENSG00000203616","ENST00000366423",21,13936993,13937325,-1,13936993,13937325,"RHOT1P2",1,42.04,"processed_pseudogene","processed_pseudogene",332,332
"ENSG00000231986","ENST00000441465",21,23888798,23890541,-1,23888798,23890541,"AP000474.1",1,34.81,"lincRNA","lincRNA",1743,1743
"ENSG00000226580","ENST00000445481",21,17500679,17500824,-1,17500679,17500824,"RPL39P40",1,39.73,"processed_pseudogene","processed_pseudogene",145,145
"ENSG00000184385","ENST00000329015",21,42102134,42108534,-1,42102134,42108534,"UMODL1-AS1",1,55.23,"sense_overlapping","sense_overlapping",6400,6400
"ENSG00000160224","ENST00000530812",21,44285838,44298648,1,44285838,44298648,"AIRE",5,63.87,"protein_coding","retained_intron",12810,12810
"ENSG00000155313","ENST00000400183",21,15730025,15880069,1,15730025,15880069,"USP25",10,35.41,"protein_coding","protein_coding",150044,150044
"ENSG00000230982","ENST00000419906",21,46653558,46654022,-1,46653558,46654022,"DSTNP1",1,43.44,"processed_pseudogene","processed_pseudogene",464,464
"ENSG00000224018","ENST00000448063",21,24155170,24188342,-1,24155170,24188342,"AP000470.2",1,35.15,"lincRNA","lincRNA",33172,33172
"ENSG00000232855","ENST00000433310",21,28439346,28674848,-1,28439346,28674848,"AF131217.1",3,37.69,"lincRNA","lincRNA",235502,235502
"ENSG00000226935","ENST00000412526",21,28539318,28540355,1,28539318,28540355,"LINC00161",2,40.56,"lincRNA","lincRNA",1037,1037
"ENSG00000183640","ENST00000329621",21,30812697,30813252,-1,30812697,30813252,"KRTAP8-1",1,51.62,"protein_coding","protein_coding",555,555
"ENSG00000160190","ENST00000398341",21,42496008,42581440,1,42499632,42581440,"SLC37A1",9,48.79,"protein_coding","protein_coding",85432,81808
"ENSG00000232539","ENST00000453716",21,33057829,33064983,1,33057829,33064983,"LINC00945",1,49.43,"lincRNA","lincRNA",7154,7154
"ENSG00000228184","ENST00000444901",21,13525599,13528579,1,13525599,13528579,"SNX19P1",1,49.88,"processed_pseudogene","processed_pseudogene",2980,2980
"ENSG00000233215","ENST00000420255",21,22008944,22098459,-1,22009158,22098459,"AP000472.2",3,35.1,"lincRNA","lincRNA",89515,89301
"ENSG00000233783","ENST00000600590",21,25928754,25942686,1,25934312,25942686,"AP001442.2",7,40.47,"processed_transcript","antisense",13932,8374
"ENSG00000187766","ENST00000334662",21,44612079,44612954,1,44612079,44612954,"KRTAP10-8",1,65.87,"protein_coding","protein_coding",875,875
"ENSG00000225731","ENST00000437426",21,42733594,42741758,-1,42733594,42741758,"AP001627.1",1,49.8,"antisense","antisense",8164,8164
"ENSG00000231123","ENST00000423089",21,38238227,38238664,-1,38238227,38238664,"SPATA20P1",1,57.08,"processed_pseudogene","processed_pseudogene",437,437
"ENSG00000225637","ENST00000435702",21,43363332,43366566,1,43363332,43366566,"AP001046.6",1,58.58,"lincRNA","lincRNA",3234,3234
"ENSG00000179381","ENST00000431829",21,13544282,13545185,-1,13544282,13545185,"OR4K11P",1,43.03,"processed_pseudogene","processed_pseudogene",903,903
"ENSG00000156265","ENST00000341618",21,29077471,29175889,1,29077633,29175889,"MAP3K7CL",16,40.51,"protein_coding","protein_coding",98418,98256
"ENSG00000228159","ENST00000427446",21,13546033,13558461,1,13546033,13558461,"AP001465.5",1,33.34,"lincRNA","lincRNA",12428,12428
"ENSG00000266133","ENST00000584048",21,26953961,26954043,1,26953961,26954043,"MIR4759",1,31.33,"miRNA","miRNA",82,82
"ENSG00000218549","ENST00000406538",21,13581044,13582004,-1,13581044,13582004,"OR4K12P",1,40.79,"processed_pseudogene","processed_pseudogene",960,960
"ENSG00000265841","ENST00000580069",21,18686090,18686164,-1,18686090,18686164,"MIR548X",1,33.33,"miRNA","miRNA",74,74
"ENSG00000199598","ENST00000362728",21,43919795,43919901,-1,43919795,43919901,"RNU6-859P",1,47.66,"snRNA","snRNA",106,106
"ENSG00000252950","ENST00000517141",21,32563075,32563210,1,32563075,32563210,"RNA5SP490",1,41.18,"rRNA","rRNA",135,135
"ENSG00000232837","ENST00000433952",21,38974429,38977774,-1,38974429,38977774,"AF064858.7",1,46.47,"lincRNA","lincRNA",3345,3345
"ENSG00000279477","ENST00000623518",21,7003248,7007022,-1,7003248,7007022,"CH507-236L23.4",1,53.67,"unprocessed_pseudogene","unprocessed_pseudogene",3774,3774
"ENSG00000223431","ENST00000443620",21,44472895,44473739,1,44472895,44473739,"MTND6P21",1,42.25,"processed_pseudogene","processed_pseudogene",844,844
"ENSG00000184221","ENST00000382348",21,33070144,33072420,1,33070144,33072420,"OLIG1",3,64.6,"protein_coding","protein_coding",2276,2276
"ENSG00000275692","ENST00000617390",21,8432530,8432621,1,8432530,8432621,"MIR6724-4",1,83.7,"miRNA","miRNA",91,91
"ENSG00000239023","ENST00000458992",21,16718998,16719157,1,16718998,16719157,"RNU1-98P",1,51.25,"snRNA","snRNA",159,159
"ENSG00000263969","ENST00000579533",21,37215605,37215903,1,37215605,37215903,"RN7SL678P",1,55.18,"misc_RNA","misc_RNA",298,298
"ENSG00000228709","ENST00000449713",21,44485577,44490288,1,44485577,44490288,"AP001065.15",1,47.62,"lincRNA","lincRNA",4711,4711
"ENSG00000221837","ENST00000397911",21,44627123,44628293,1,44627123,44628293,"KRTAP10-9",3,66.61,"protein_coding","protein_coding",1170,1170
"ENSG00000205581","ENST00000492280",21,39342315,39349647,-1,39342315,39349344,"HMGN1",20,42.26,"protein_coding","retained_intron",7332,7029
"ENSG00000187175","ENST00000391617",21,44681576,44682163,-1,44681576,44682163,"KRTAP12-1",1,60.37,"protein_coding","protein_coding",587,587
"ENSG00000205445","ENST00000391621",21,44550357,44551505,-1,44550357,44551505,"KRTAP10-2",2,66.23,"protein_coding","protein_coding",1148,1148
"ENSG00000212136","ENST00000390834",21,37045530,37045636,1,37045530,37045636,"RNU6-696P",1,42.99,"snRNA","snRNA",106,106
"ENSG00000184809","ENST00000380612",21,39597147,39612821,-1,39597147,39612441,"B3GALT5-AS1",4,48.68,"antisense","antisense",15674,15294
"ENSG00000275708","ENST00000615959",21,8208473,8208652,1,8208473,8208652,"MIR3648-1",1,83.89,"miRNA","miRNA",179,179
"ENSG00000276633","ENST00000618749",21,45870854,45873345,1,45870854,45873345,"AJ011931.1",1,57.91,"sense_intronic","sense_intronic",2491,2491
"ENSG00000211590","ENST00000390235",21,35720715,35720808,1,35720715,35720808,"MIR802",1,37.23,"miRNA","miRNA",93,93
"ENSG00000264462","ENST00000581792",21,8986999,8987178,1,8986999,8987178,"MIR3648-2",1,83.89,"miRNA","miRNA",179,179
